,NB_output,NB_ur
12/31/2002,-1.12894887,-0.405576779
3/31/2003,-0.956809666,-0.071937273
6/30/2003,-2.14395043,0.214451958
9/30/2003,-2.10267975,0.381910683
12/31/2003,-0.603697876,0.661609948
3/31/2004,-0.341359325,0.666145259
6/30/2004,-0.071885168,0.651294298
9/30/2004,-0.164372203,0.606314015
12/31/2004,0.557870234,0.687737378
3/31/2005,-0.124825089,0.525962331
6/30/2005,1.49545119,0.474761204
9/30/2005,1.30472988,0.316566565
12/31/2005,1.30985232,0.138217344
3/31/2006,2.23012422,-0.224213546
6/30/2006,4.69375633,-0.419912717
9/30/2006,3.64310304,-0.572191608
12/31/2006,3.02253856,-0.796559787
3/31/2007,2.93264283,-1.038048072
6/30/2007,2.12456784,-1.204804652
9/30/2007,2.70920134,-1.377924762
12/31/2007,3.33702789,-1.643947224
3/31/2008,2.91644058,-1.939239459
6/30/2008,1.68482069,-2.162788341
9/30/2008,0.781994351,-2.067077659
12/31/2008,-1.85851512,-1.705494999
3/31/2009,-3.48662944,-0.952264977
6/30/2009,-5.5843982,0.004721059
9/30/2009,-5.38751923,0.510481402
12/31/2009,-5.39194019,0.901288646
3/31/2010,-4.58691539,1.128339568
6/30/2010,-4.03347898,1.067674144
9/30/2010,-2.59684346,1.066742302
12/31/2010,-2.9368267,1.029403352
3/31/2011,-2.80238947,0.95602721
6/30/2011,-1.94615798,0.881684362
9/30/2011,-3.30104936,0.900861396
12/31/2011,-2.5609947,0.723032417
3/31/2012,-2.74066743,0.875236065
6/30/2012,-2.80822531,1.084867396
9/30/2012,-2.85215481,1.090294185
12/31/2012,-3.1522056,1.026974553
3/31/2013,-2.76847587,0.99809929
6/30/2013,-2.84095366,1.004414282
9/30/2013,-2.4291857,0.904537816
12/31/2013,-2.45241381,0.857350326
3/31/2014,-2.45545518,0.56072448
6/30/2014,-2.79907642,0.469950536
9/30/2014,-1.4403362,0.421096818
12/31/2014,-1.40122813,0.400511863
3/31/2015,-1.0602598,0.365273076
6/30/2015,-0.952783023,0.346219955
9/30/2015,-1.01954696,0.217914033
12/31/2015,-1.15931624,0.104640079
3/31/2016,-0.400458938,0.014050956
6/30/2016,0.520116011,-0.100246778
9/30/2016,0.958173971,-0.310195413
12/31/2016,1.04642382,-0.408589977
3/31/2017,1.23626409,-0.429548382
6/30/2017,1.89872143,-0.507863405
9/30/2017,1.00572716,-0.418801089
12/31/2017,1.23406482,-0.463902999
3/31/2018,1.25154967,-0.535091812
6/30/2018,1.18876208,-0.595020312
9/30/2018,1.37360378,-0.629788041
12/31/2018,1.32201634,-0.585651161
3/31/2019,1.48390604,-0.615075059
6/30/2019,1.78547869,-0.620860251
9/30/2019,1.77935546,-0.519863084
12/31/2019,1.19734031,-0.429123012
3/31/2020,0.291701998,-0.326937395
6/30/2020,-6.17930724,1.152536124
9/30/2020,-0.673951394,0.761748022
12/31/2020,-0.635629178,0.530315571
3/31/2021,-1.23864283,0.524723806
6/30/2021,0.568585908,0.087150626
9/30/2021,1.41605176,-0.458085807
12/31/2021,2.09796882,-0.906368027
2022q1,1.85477744,-1.051944133
2022q2,1.03273091,-1.166200123
2022q3,0.737591081,-1.166448731
2022q4,0.607884822,-1.073656203
