,NB_output,NB_ur
1985q1,-1.08912644,1.576258801
1985q2,-0.187443125,1.219662321
1985q3,1.29734781,0.754238076
1985q4,2.65334016,0.200009719
1986q1,3.42385679,-0.17938499
1986q2,3.03693677,-0.34931965
1986q3,2.71017103,-0.400581624
1986q4,2.52080036,-0.470125011
1987q1,0.58184024,-0.397413022
1987q2,2.26780558,-0.433399834
1987q3,0.41947508,-0.519384175
1987q4,0.040267882,-0.532111499
1988q1,-0.400945848,-0.104976965
1988q2,-0.62553494,-0.051383304
1988q3,-2.82551161,-0.031441031
1988q4,-0.797685906,0.493341892
1989q1,-0.085312459,0.652358068
1989q2,-2.38147442,0.670130458
1989q3,-4.18603334,0.589823829
1989q4,-2.91593423,0.522728227
1990q1,-3.20719674,0.50267667
1990q2,-0.913292814,0.627600426
1990q3,-3.17836685,0.80048233
1990q4,-3.98284642,0.795860887
1991q1,-2.6753112,1.090548832
1991q2,-3.53156094,1.276384687
1991q3,-2.80468071,1.343003759
1991q4,-4.64212101,1.435444997
1992q1,-3.31977502,1.61090176
1992q2,-4.39093606,1.693424239
1992q3,-2.42534371,1.749867539
1992q4,-3.62515422,2.108464297
1993q1,-4.86640402,2.461531197
1993q2,-5.77867752,2.693837027
1993q3,-5.11969134,2.678880548
1993q4,-4.79658102,3.009433737
1994q1,-2.87635805,3.120055392
1994q2,-1.59099985,3.258916338
1994q3,-1.4637328,2.80244168
1994q4,-0.297998073,2.169365795
1995q1,-0.000882319,1.559657044
1995q2,-0.825801565,1.190046672
1995q3,-0.949433364,1.017808032
1995q4,-0.729792624,0.63652662
1996q1,-0.993933909,0.131565214
1996q2,0.968996443,0.208872849
1996q3,0.613010106,0.059673649
1996q4,-0.042482278,0.054501289
1997q1,0.562286473,-0.237271537
1997q2,1.56721468,-0.291721745
1997q3,0.651968273,-0.484848103
1997q4,-0.042936481,-0.72125614
1998q1,0.796606506,-0.901891605
1998q2,-0.596992501,-1.166709895
1998q3,0.55625603,-1.199579682
1998q4,0.223131541,-1.363992032
1999q1,0.530199691,-1.23284585
1999q2,0.488990079,-1.117286413
1999q3,0.56224506,-1.09435832
1999q4,1.38157719,-1.005404844
2000q1,1.64652224,-0.959728003
2000q2,2.18673491,-0.942251259
2000q3,1.91310632,-0.938419677
2000q4,2.36236062,-0.960003036
2001q1,0.802403483,-0.97147202
2001q2,0.775875704,-1.024939263
2001q3,1.1736015,-1.006415328
2001q4,0.47127635,-0.99834506
2002q1,-0.006072659,-0.784011674
2002q2,-0.391663811,-0.740281716
2002q3,-0.443852314,-0.603301573
2002q4,-1.12894887,-0.402266119
2003q1,-0.956809666,-0.067302457
2003q2,-2.14395043,0.219361442
2003q3,-2.10267975,0.38602852
2003q4,-0.603697876,0.66644071
2004q1,-0.341359325,0.674649387
2004q2,-0.071885168,0.658041408
2004q3,-0.164372203,0.615969996
2004q4,0.557870234,0.694533973
2005q1,-0.124825089,0.531437967
2005q2,1.49545119,0.477482375
2005q3,1.30472988,0.319434173
2005q4,1.30985232,0.140693315
2006q1,2.23012422,-0.223567344
2006q2,4.69375633,-0.420496562
2006q3,3.64310304,-0.57303059
2006q4,3.02253856,-0.798710856
2007q1,2.93264283,-1.042050864
2007q2,2.12456784,-1.207731713
2007q3,2.70920134,-1.379648502
2007q4,3.33702789,-1.645277921
2008q1,2.91644058,-1.941832775
2008q2,1.68482069,-2.164612319
2008q3,0.781994351,-2.06968854
2008q4,-1.85851512,-1.708301079
2009q1,-3.48662944,-0.952839237
2009q2,-5.5843982,0.004918709
2009q3,-5.38751923,0.511057433
2009q4,-5.39194019,0.903487439
2010q1,-4.58691539,1.134793818
2010q2,-4.03347898,1.074774754
2010q3,-2.59684346,1.074321704
2010q4,-2.9368267,1.037036961
2011q1,-2.80238947,0.965579198
2011q2,-1.94615798,0.889638829
2011q3,-3.30104936,0.908261978
2011q4,-2.5609947,0.730492817
2012q1,-2.74066743,0.884047485
2012q2,-2.80822531,1.092510917
2012q3,-2.85215481,1.097411657
2012q4,-3.1522056,1.033831221
2013q1,-2.76847587,1.004397901
2013q2,-2.84095366,1.009725887
2013q3,-2.4291857,0.909167638
2013q4,-2.45241381,0.861815313
2014q1,-2.45545518,0.565340693
2014q2,-2.79907642,0.474137614
2014q3,-1.4403362,0.425072929
2014q4,-1.40122813,0.403783442
2015q1,-1.0602598,0.367799322
2015q2,-0.952783023,0.348253695
2015q3,-1.01954696,0.219719756
2015q4,-1.15931624,0.106285217
2016q1,-0.400458938,0.015440563
2016q2,0.520116011,-0.098905818
2016q3,0.958173971,-0.308933574
2016q4,1.04642382,-0.407503627
2017q1,1.23626409,-0.428398498
2017q2,1.89872143,-0.506816905
2017q3,1.00572716,-0.417806712
2017q4,1.23406482,-0.463003561
2018q1,1.25154967,-0.534219753
2018q2,1.18876208,-0.594282621
2018q3,1.37360378,-0.629264297
2018q4,1.32201634,-0.585139999
2019q1,1.48390604,-0.614728143
2019q2,1.78547869,-0.620572654
2019q3,1.77935546,-0.519796354
2019q4,1.19734031,-0.429081259
2020q1,0.291701998,-0.326894335
2020q2,-6.17930724,1.153039257
2020q3,-0.673951394,0.761855826
2020q4,-0.635629178,0.530494263
2021q1,-1.23864283,0.52524096
2021q2,0.568585908,0.087018742
2021q3,1.41605176,-0.458826155
2021q4,2.09796882,-0.907059375
2022q1,1.85477744,-1.052545364
,,-1.166652406
,,-1.166788366
,,-1.073890857
