,output,nairu
31/12/2002,1716.81004,6.351945808
31/03/2003,1723.04129,6.275438267
30/06/2003,1727.40173,6.197737369
30/09/2003,1732.61964,6.116450677
31/12/2003,1738.64087,6.035654285
31/03/2004,1742.43717,5.946586162
30/06/2004,1748.09374,5.854462699
30/09/2004,1753.83381,5.759271471
31/12/2004,1760.03342,5.664530356
31/03/2005,1765.65819,5.562621152
30/06/2005,1771.48476,5.461332668
30/09/2005,1776.84351,5.356579
31/12/2005,1782.52221,5.250742426
31/03/2006,1788.38875,5.140949736
30/06/2006,1796.90675,5.03536636
30/09/2006,1803.77637,4.931945455
31/12/2006,1810.08552,4.828753233
31/03/2007,1817.71499,4.727634932
30/06/2007,1824.25597,4.631431271
30/09/2007,1830.66098,4.539343452
31/12/2007,1837.50414,4.450890495
31/03/2008,1844.48262,4.369454215
30/06/2008,1850.10937,4.299172805
30/09/2008,1855.98292,4.246564396
31/12/2008,1860.64184,4.210619581
31/03/2009,1864.26394,4.192650289
30/06/2009,1866.88283,4.186234169
30/09/2009,1869.65422,4.175136134
31/12/2009,1871.43235,4.164755263
31/03/2010,1872.45854,4.153034686
30/06/2010,1874.85273,4.136890839
30/09/2010,1877.40946,4.123401466
31/12/2010,1879.56378,4.110463562
31/03/2011,1881.12897,4.098174243
30/06/2011,1883.78388,4.087481229
30/09/2011,1885.73215,4.080640568
31/12/2011,1887.1251,4.191612717
31/03/2012,1889.20399,4.182242249
30/06/2012,1891.90251,4.190804306
30/09/2012,1894.51204,4.198158568
31/12/2012,1897.13407,4.200288951
31/03/2013,1900.52335,4.170627781
30/06/2013,1903.315,4.163938185
30/09/2013,1907.49899,4.120556074
31/12/2013,1911.77874,4.066216918
31/03/2014,1916.67918,4.061695955
30/06/2014,1921.88316,4.024141646
30/09/2014,1927.68174,4.000101207
31/12/2014,1933.8399,3.952379467
31/03/2015,1940.45363,3.931842317
30/06/2015,1947.43595,3.906781373
30/09/2015,1954.61575,3.858639208
31/12/2015,1961.71046,3.852530571
31/03/2016,1969.31062,3.844711622
30/06/2016,1977.65751,3.854403884
30/09/2016,1985.71703,4.014711913
31/12/2016,1998.26041,4.160555077
31/03/2017,2007.52189,4.274857822
30/06/2017,2016.55849,4.34755592
30/09/2017,2027.18523,4.315982332
31/12/2017,2037.83086,4.251773033
31/03/2018,2047.90692,4.20088289
30/06/2018,2059.49325,4.156696772
30/09/2018,2068.0679,4.103396028
31/12/2018,2079.4667,4.044986886
31/03/2019,2088.92528,3.998196392
30/06/2019,2097.81229,3.95342505
30/09/2019,2105.88554,3.916446598
31/12/2019,2113.53986,3.880551679
31/03/2020,2118.0178,3.843418428
30/06/2020,2122.36578,3.844920608
30/09/2020,2131.09256,3.789496138
31/12/2020,2139.76111,3.737485892
31/03/2021,2147.92984,3.68907364
30/06/2021,2158.28789,3.616608538
30/09/2021,2165.43076,3.534660185
31/12/2021,2174.19897,3.439484861
31/03/2022,2181.75356,3.378544325
30/06/2022,2192.76271,3.318811658
30/09/2022,2205.87314,3.267172554
31/12/2022,2217.78115,3.222707347
