,output,nairu
31/03/1985,295.20319,8.954126854
30/06/1985,296.95961,8.913408996
30/09/1985,298.752145,8.864840285
31/12/1985,300.7283525,8.814141334
31/03/1986,302.70944,8.762062857
30/06/1986,304.675755,8.740906417
30/09/1986,306.5776075,8.740295592
31/12/1986,308.52217,8.75531231
31/03/1987,310.218015,8.787655049
30/06/1987,312.05436,8.81559802
30/09/1987,313.73395,8.838646198
31/12/1987,315.5019275,8.861846005
31/03/1988,316.8573825,8.904017383
30/06/1988,318.3408675,8.95724732
30/09/1988,319.75965,9.040493811
31/12/1988,321.5081725,9.164405303
31/03/1989,323.014955,9.296773689
30/06/1989,324.34648,9.433367159
30/09/1989,325.7781975,9.561757057
31/12/1989,327.4254025,9.680594417
31/03/1990,328.8828175,9.800466017
30/06/1990,330.61549,9.918180365
30/09/1990,332.076645,10.04065925
31/12/1990,333.8608425,10.16191533
31/03/1991,335.4364925,10.2922101
30/06/1991,337.0473025,10.44709688
30/09/1991,338.85964,10.57433829
31/12/1991,340.6127725,10.63354801
31/03/1992,342.232585,10.72538423
30/06/1992,343.872,10.74762977
30/09/1992,345.5822325,10.83159081
31/12/1992,347.050815,10.91567297
31/03/1993,348.5502625,11.01896801
30/06/1993,350.0022125,11.15433911
30/09/1993,351.3682375,11.2490699
31/12/1993,352.6349225,11.18686986
31/03/1994,353.9585875,10.97549286
30/06/1994,355.414905,10.61807198
30/09/1994,357.005295,10.45889725
31/12/1994,358.8630625,10.36740864
31/03/1995,360.8231825,10.18582804
30/06/1995,362.771185,10.07528568
30/09/1995,364.7347775,9.941572112
31/12/1995,366.5974125,9.865047406
31/03/1996,367.622325,9.74791605
30/06/1996,370.2382175,9.583284485
30/09/1996,372.6093525,9.440549954
31/12/1996,375.187355,9.32049122
31/03/1997,377.6057925,9.187175198
30/06/1997,380.250465,9.080077925
30/09/1997,382.663505,8.962289678
31/12/1997,385.27939,8.821468575
31/03/1998,387.8187725,8.70618517
30/06/1998,390.2913175,8.589610215
30/09/1998,392.9048525,8.484269489
31/12/1998,395.4803225,8.370976867
31/03/1999,397.8400525,8.278588166
30/06/1999,400.05921,8.172868566
30/09/1999,402.2370725,8.058283093
31/12/1999,404.5354925,7.942584112
31/03/2000,407.3992025,7.817464354
30/06/2000,409.8170575,7.758459713
30/09/2000,412.07534,7.653652882
31/12/2000,414.2393975,7.568602491
31/03/2001,416.18381,7.479613019
30/06/2001,418.3266075,7.365956645
30/09/2001,420.406985,7.267847193
31/12/2001,422.535145,7.205214717
31/03/2002,424.414535,7.120994677
30/06/2002,426.0117425,7.03847319
30/09/2002,427.6835025,6.960174824
31/12/2002,429.20251,6.862974068
31/03/2003,430.7603225,6.763035612
30/06/2003,431.8504325,6.662438696
30/09/2003,433.15491,6.571602677
31/12/2003,434.6602175,6.520038417
31/03/2004,435.6092925,6.484761477
30/06/2004,437.023435,6.46216751
30/09/2004,438.4584525,6.419969222
31/12/2004,440.008355,6.270803352
31/03/2005,441.4145475,6.119736258
30/06/2005,442.87119,5.963303567
30/09/2005,444.2108775,5.826445228
31/12/2005,445.6305525,5.711371228
31/03/2006,447.0971875,5.597060651
30/06/2006,449.2266875,5.464535635
30/09/2006,450.9440925,5.327034749
31/12/2006,452.52138,5.169875759
31/03/2007,454.4287475,4.994789848
30/06/2007,456.0639925,4.852436476
30/09/2007,457.665245,4.739059945
31/12/2007,459.376035,4.648890218
31/03/2008,461.120655,4.567664876
30/06/2008,462.5273425,4.49663824
30/09/2008,463.99573,4.452981326
31/12/2008,465.16046,4.427391351
31/03/2009,466.065985,4.419038221
30/06/2009,466.7207075,4.44428954
30/09/2009,467.413555,4.484299516
31/12/2009,467.8580875,4.537854115
31/03/2010,468.114635,4.607978394
30/06/2010,468.7131825,4.679416757
30/09/2010,469.352365,4.738013428
31/12/2010,469.890945,4.732914162
31/03/2011,470.2822425,4.736902151
30/06/2011,470.94597,4.740289812
30/09/2011,471.4330375,4.721384488
31/12/2011,471.781275,4.811793061
31/03/2012,472.3009975,4.785690536
30/06/2012,472.9756275,4.73040075
30/09/2012,473.62801,4.672360577
31/12/2012,474.2835175,4.658398661
31/03/2013,475.1308375,4.569237426
30/06/2013,475.82875,4.515300861
30/09/2013,476.8747475,4.452964213
31/12/2013,477.944685,4.392937051
31/03/2014,479.169795,4.340921717
30/06/2014,480.47079,4.276207718
30/09/2014,481.920435,4.230566584
31/12/2014,483.459975,4.154175159
31/03/2015,485.1134075,4.1086584
30/06/2015,486.8589875,4.060026952
30/09/2015,488.6539375,3.990970502
31/12/2015,490.427615,3.979096394
31/03/2016,492.327655,3.968306013
30/06/2016,494.4143775,3.979283262
30/09/2016,496.4292575,4.137273071
31/12/2016,499.5651025,4.278372467
31/03/2017,501.8804725,4.396085273
30/06/2017,504.1396225,4.469055023
30/09/2017,506.7963075,4.433842577
31/12/2017,509.457715,4.361647576
31/03/2018,511.97673,4.307668741
30/06/2018,514.8733125,4.257344443
30/09/2018,517.016975,4.198236106
31/12/2018,519.866675,4.132445714
31/03/2019,522.23132,4.082010713
30/06/2019,524.4530725,4.038274283
30/09/2019,526.471385,3.994232686
31/12/2019,528.384965,3.954814697
31/03/2020,529.50445,3.916580549
30/06/2020,530.591445,3.887330557
30/09/2020,532.77314,3.834291733
31/12/2020,534.9402775,3.808241615
31/03/2021,536.98246,3.747095383
30/06/2021,539.5719725,3.661240326
30/09/2021,541.35769,3.594774284
31/12/2021,543.5497425,3.48296393
31/03/2022,545.43839,3.418492057
